YYYY,DOY,HR,MN,bX,bY,bZ,speed,density,temp
2016,157,0,0,0.68,0.48,0.91,315.4,24.806,27834.
2016,157,1,0,2.59,0.67,0.92,309.1,23.798,32698.
2016,157,2,0,-1.30,1.35,1.00,313.6,24.873,26077.
2016,157,3,0,-2.17,0.63,0.71,320.1,28.827,34178.
2016,157,4,0,-1.94,0.50,1.31,321.3,32.458,31327.
2016,157,5,0,-1.44,1.13,1.96,325.7,39.628,30720.
2016,157,6,0,-0.33,1.22,1.39,330.5,60.276,34126.
2016,157,7,0,-7.29,1.19,1.93,336.8,55.159,27021.
2016,157,8,0,-2.95,4.37,4.13,340.0,42.091,61256.
2016,157,9,0,0.31,2.23,3.77,361.3,35.398,117925.
2016,157,10,0,2.13,1.39,4.74,383.4,28.606,111011.
2016,157,11,0,5.97,1.40,3.31,382.3,26.912,126672.
2016,157,12,0,-4.40,3.93,8.88,401.7,32.199,109115.
2016,157,13,0,0.42,1.62,9.24,410.1,23.459,158377.
2016,157,14,0,7.60,3.30,5.30,472.1,13.158,249677.
2016,157,15,0,7.92,1.63,5.36,491.4,13.899,313721.
2016,157,16,0,8.13,1.02,8.17,528.9,10.860,286803.
2016,157,17,0,7.93,1.17,4.05,544.1,10.449,349295.
2016,157,18,0,3.84,1.44,5.37,561.0,9.555,457047.
2016,157,19,0,7.49,1.20,1.76,571.0,8.607,414892.
2016,157,20,0,8.62,0.75,1.25,575.9,6.737,257852.
2016,157,21,0,6.02,0.47,1.54,582.5,6.023,268023.
2016,157,22,0,4.57,0.86,3.83,582.2,5.968,258191.
2016,157,23,0,-0.24,1.21,2.40,574.6,6.166,253308.
2016,158,0,0,-0.35,0.58,2.80,569.3,6.002,224260.
2016,158,1,0,3.09,0.88,1.44,569.7,5.722,241670.
2016,158,2,0,1.50,1.14,2.11,614.6,4.368,291742.
2016,158,3,0,-1.78,1.08,1.53,623.2,4.175,306313.
2016,158,4,0,-0.03,0.55,1.87,615.4,4.964,301205.
2016,158,5,0,0.91,0.53,3.28,613.5,4.590,251571.
2016,158,6,0,2.98,0.54,2.81,599.0,4.622,231681.
2016,158,7,0,5.68,0.29,1.24,576.4,4.488,160882.
2016,158,8,0,5.85,0.55,1.20,571.0,4.126,132951.
2016,158,9,0,5.54,0.20,0.76,567.4,3.547,114667.
2016,158,10,0,5.72,0.48,0.84,566.8,3.649,141664.
2016,158,11,0,4.47,0.42,1.94,574.8,3.633,174529.
2016,158,12,0,4.30,0.35,2.26,569.2,3.361,153084.
2016,158,13,0,4.17,0.39,1.89,558.2,3.213,156076.
2016,158,14,0,4.84,0.17,0.32,534.3,2.925,125810.
2016,158,15,0,4.49,0.59,0.86,510.8,2.756,122231.
2016,158,16,0,1.23,0.85,2.36,524.8,3.518,190044.
2016,158,17,0,3.43,0.71,1.73,496.2,4.336,150268.
2016,158,18,0,5.09,0.31,0.50,477.5,4.719,164240.
