YYYY,MM,DD,D_year,HH,h_mid,days,days_m,Kp,ap,D
2016,6,5,157,00.0,01.50,30837.00000,30837.06250,1.333,5,1
2016,6,5,157,03.0,04.50,30837.12500,30837.18750,2.000,7,1
2016,6,5,157,06.0,07.50,30837.25000,30837.31250,2.000,7,1
2016,6,5,157,09.0,10.50,30837.37500,30837.43750,3.667,22,1
2016,6,5,157,12.0,13.50,30837.50000,30837.56250,5.333,56,1
2016,6,5,157,15.0,16.50,30837.62500,30837.68750,4.667,39,1
2016,6,5,157,18.0,19.50,30837.75000,30837.81250,5.333,56,1
2016,6,5,157,21.0,22.50,30837.87500,30837.93750,4.667,39,1
2016,6,6,158,00.0,01.50,30838.00000,30838.06250,4.333,32,1
2016,6,6,158,03.0,04.50,30838.12500,30838.18750,5.333,56,1
2016,6,6,158,06.0,07.50,30838.25000,30838.31250,3.667,22,1
2016,6,6,158,09.0,10.50,30838.37500,30838.43750,4.000,27,1
2016,6,6,158,12.0,13.50,30838.50000,30838.56250,3.667,22,1
2016,6,6,158,15.0,16.50,30838.62500,30838.68750,2.000,7,1
2016,6,6,158,18.0,19.50,30838.75000,30838.81250,3.000,15,1
2016,6,6,158,21.0,22.50,30838.87500,30838.93750,1.667,6,1
2016,6,7,159,00.0,01.50,30839.00000,30839.06250,1.667,6,1
2016,6,7,159,03.0,04.50,30839.12500,30839.18750,1.333,5,1
2016,6,7,159,06.0,07.50,30839.25000,30839.31250,0.667,3,1
2016,6,7,159,09.0,10.50,30839.37500,30839.43750,2.333,9,1
2016,6,7,159,12.0,13.50,30839.50000,30839.56250,2.000,7,1
2016,6,7,159,15.0,16.50,30839.62500,30839.68750,2.000,7,1
2016,6,7,159,18.0,19.50,30839.75000,30839.81250,3.000,15,1
2016,6,7,159,21.0,22.50,30839.87500,30839.93750,3.000,15,1
2016,6,8,160,00.0,01.50,30840.00000,30840.06250,2.000,7,1
2016,6,8,160,03.0,04.50,30840.12500,30840.18750,2.000,7,1
2016,6,8,160,06.0,07.50,30840.25000,30840.31250,0.667,3,1
2016,6,8,160,09.0,10.50,30840.37500,30840.43750,2.000,7,1
2016,6,8,160,12.0,13.50,30840.50000,30840.56250,1.667,6,1
2016,6,8,160,15.0,16.50,30840.62500,30840.68750,1.667,6,1
2016,6,8,160,18.0,19.50,30840.75000,30840.81250,0.333,2,1
2016,6,8,160,21.0,22.50,30840.87500,30840.93750,0.333,2,1
2016,6,9,161,00.0,01.50,30841.00000,30841.06250,2.000,7,1
2016,6,9,161,03.0,04.50,30841.12500,30841.18750,0.667,3,1
2016,6,9,161,06.0,07.50,30841.25000,30841.31250,0.333,2,1
2016,6,9,161,09.0,10.50,30841.37500,30841.43750,0.333,2,1
2016,6,9,161,12.0,13.50,30841.50000,30841.56250,1.000,4,1
2016,6,9,161,15.0,16.50,30841.62500,30841.68750,0.667,3,1
2016,6,9,161,18.0,19.50,30841.75000,30841.81250,0.667,3,1
2016,6,9,161,21.0,22.50,30841.87500,30841.93750,0.333,2,1
2016,6,10,162,00.0,01.50,30842.00000,30842.06250,0.333,2,1
2016,6,10,162,03.0,04.50,30842.12500,30842.18750,1.000,4,1
2016,6,10,162,06.0,07.50,30842.25000,30842.31250,0.333,2,1
2016,6,10,162,09.0,10.50,30842.37500,30842.43750,0.667,3,1
2016,6,10,162,12.0,13.50,30842.50000,30842.56250,1.333,5,1
2016,6,10,162,15.0,16.50,30842.62500,30842.68750,1.333,5,1
2016,6,10,162,18.0,19.50,30842.75000,30842.81250,3.333,18,1
2016,6,10,162,21.0,22.50,30842.87500,30842.93750,2.333,9,1
2016,6,11,163,00.0,01.50,30843.00000,30843.06250,3.000,15,1
2016,6,11,163,03.0,04.50,30843.12500,30843.18750,1.333,5,1
2016,6,11,163,06.0,07.50,30843.25000,30843.31250,1.667,6,1
2016,6,11,163,09.0,10.50,30843.37500,30843.43750,1.333,5,1
2016,6,11,163,12.0,13.50,30843.50000,30843.56250,2.000,7,1
2016,6,11,163,15.0,16.50,30843.62500,30843.68750,2.000,7,1
2016,6,11,163,18.0,19.50,30843.75000,30843.81250,2.000,7,1
2016,6,11,163,21.0,22.50,30843.87500,30843.93750,3.333,18,1
2016,6,12,164,00.0,01.50,30844.00000,30844.06250,1.333,5,1
2016,6,12,164,03.0,04.50,30844.12500,30844.18750,1.667,6,1
2016,6,12,164,06.0,07.50,30844.25000,30844.31250,2.333,9,1
2016,6,12,164,09.0,10.50,30844.37500,30844.43750,1.667,6,1
2016,6,12,164,12.0,13.50,30844.50000,30844.56250,2.667,12,1
2016,6,12,164,15.0,16.50,30844.62500,30844.68750,3.000,15,1
2016,6,12,164,18.0,19.50,30844.75000,30844.81250,3.667,22,1
2016,6,12,164,21.0,22.50,30844.87500,30844.93750,2.000,7,1
2016,6,13,165,00.0,01.50,30845.00000,30845.06250,2.667,12,1
2016,6,13,165,03.0,04.50,30845.12500,30845.18750,3.667,22,1
2016,6,13,165,06.0,07.50,30845.25000,30845.31250,1.333,5,1
2016,6,13,165,09.0,10.50,30845.37500,30845.43750,1.667,6,1
2016,6,13,165,12.0,13.50,30845.50000,30845.56250,2.000,7,1
2016,6,13,165,15.0,16.50,30845.62500,30845.68750,1.000,4,1
2016,6,13,165,18.0,19.50,30845.75000,30845.81250,1.667,6,1
2016,6,13,165,21.0,22.50,30845.87500,30845.93750,0.667,3,1
2016,6,14,166,00.0,01.50,30846.00000,30846.06250,2.667,12,1
2016,6,14,166,03.0,04.50,30846.12500,30846.18750,1.667,6,1
2016,6,14,166,06.0,07.50,30846.25000,30846.31250,1.333,5,1
2016,6,14,166,09.0,10.50,30846.37500,30846.43750,1.667,6,1
2016,6,14,166,12.0,13.50,30846.50000,30846.56250,2.000,7,1
2016,6,14,166,15.0,16.50,30846.62500,30846.68750,2.667,12,1
2016,6,14,166,18.0,19.50,30846.75000,30846.81250,6.333,94,1
2016,6,14,166,21.0,22.50,30846.87500,30846.93750,4.000,27,1
2016,6,15,167,00.0,01.50,30847.00000,30847.06250,4.333,32,1
2016,6,15,167,03.0,04.50,30847.12500,30847.18750,2.000,7,1
2016,6,15,167,06.0,07.50,30847.25000,30847.31250,2.333,9,1
2016,6,15,167,09.0,10.50,30847.37500,30847.43750,3.000,15,1
2016,6,15,167,12.0,13.50,30847.50000,30847.56250,2.667,12,1
2016,6,15,167,15.0,16.50,30847.62500,30847.68750,2.333,9,1
2016,6,15,167,18.0,19.50,30847.75000,30847.81250,1.000,4,1
2016,6,15,167,21.0,22.50,30847.87500,30847.93750,0.667,3,1
2016,6,16,168,00.0,01.50,30848.00000,30848.06250,1.667,6,1
2016,6,16,168,03.0,04.50,30848.12500,30848.18750,1.333,5,1
2016,6,16,168,06.0,07.50,30848.25000,30848.31250,1.333,5,1
2016,6,16,168,09.0,10.50,30848.37500,30848.43750,2.000,7,1
2016,6,16,168,12.0,13.50,30848.50000,30848.56250,2.333,9,1
2016,6,16,168,15.0,16.50,30848.62500,30848.68750,2.000,7,1
2016,6,16,168,18.0,19.50,30848.75000,30848.81250,1.333,5,1
2016,6,16,168,21.0,22.50,30848.87500,30848.93750,1.333,5,1
2016,6,17,169,00.0,01.50,30849.00000,30849.06250,1.333,5,1
2016,6,17,169,03.0,04.50,30849.12500,30849.18750,1.667,6,1
2016,6,17,169,06.0,07.50,30849.25000,30849.31250,1.667,6,1
2016,6,17,169,09.0,10.50,30849.37500,30849.43750,2.000,7,1
2016,6,17,169,12.0,13.50,30849.50000,30849.56250,2.667,12,1
2016,6,17,169,15.0,16.50,30849.62500,30849.68750,2.333,9,1
2016,6,17,169,18.0,19.50,30849.75000,30849.81250,2.333,9,1
2016,6,17,169,21.0,22.50,30849.87500,30849.93750,0.667,3,1
2016,6,18,170,00.0,01.50,30850.00000,30850.06250,1.667,6,1
2016,6,18,170,03.0,04.50,30850.12500,30850.18750,2.333,9,1
2016,6,18,170,06.0,07.50,30850.25000,30850.31250,2.333,9,1
2016,6,18,170,09.0,10.50,30850.37500,30850.43750,2.333,9,1
2016,6,18,170,12.0,13.50,30850.50000,30850.56250,2.333,9,1
2016,6,18,170,15.0,16.50,30850.62500,30850.68750,1.333,5,1
2016,6,18,170,18.0,19.50,30850.75000,30850.81250,1.667,6,1
2016,6,18,170,21.0,22.50,30850.87500,30850.93750,1.667,6,1
2016,6,19,171,00.0,01.50,30851.00000,30851.06250,1.667,6,1
2016,6,19,171,03.0,04.50,30851.12500,30851.18750,1.667,6,1
2016,6,19,171,06.0,07.50,30851.25000,30851.31250,2.000,7,1
2016,6,19,171,09.0,10.50,30851.37500,30851.43750,0.667,3,1
2016,6,19,171,12.0,13.50,30851.50000,30851.56250,1.000,4,1
2016,6,19,171,15.0,16.50,30851.62500,30851.68750,1.333,5,1
2016,6,19,171,18.0,19.50,30851.75000,30851.81250,0.667,3,1
2016,6,19,171,21.0,22.50,30851.87500,30851.93750,0.000,0,1
2016,6,20,172,00.0,01.50,30852.00000,30852.06250,1.000,4,1
2016,6,20,172,03.0,04.50,30852.12500,30852.18750,1.000,4,1
2016,6,20,172,06.0,07.50,30852.25000,30852.31250,1.333,5,1
2016,6,20,172,09.0,10.50,30852.37500,30852.43750,0.333,2,1
2016,6,20,172,12.0,13.50,30852.50000,30852.56250,0.667,3,1
2016,6,20,172,15.0,16.50,30852.62500,30852.68750,0.667,3,1
2016,6,20,172,18.0,19.50,30852.75000,30852.81250,1.000,4,1
2016,6,20,172,21.0,22.50,30852.87500,30852.93750,1.000,4,1
2016,6,21,173,00.0,01.50,30853.00000,30853.06250,0.667,3,1
2016,6,21,173,03.0,04.50,30853.12500,30853.18750,0.667,3,1
2016,6,21,173,06.0,07.50,30853.25000,30853.31250,0.333,2,1
2016,6,21,173,09.0,10.50,30853.37500,30853.43750,0.667,3,1
2016,6,21,173,12.0,13.50,30853.50000,30853.56250,1.000,4,1
2016,6,21,173,15.0,16.50,30853.62500,30853.68750,0.667,3,1
2016,6,21,173,18.0,19.50,30853.75000,30853.81250,0.667,3,1
2016,6,21,173,21.0,22.50,30853.87500,30853.93750,0.333,2,1
2016,6,22,174,00.0,01.50,30854.00000,30854.06250,0.667,3,1
2016,6,22,174,03.0,04.50,30854.12500,30854.18750,1.000,4,1
2016,6,22,174,06.0,07.50,30854.25000,30854.31250,0.667,3,1
2016,6,22,174,09.0,10.50,30854.37500,30854.43750,1.333,5,1
2016,6,22,174,12.0,13.50,30854.50000,30854.56250,1.667,6,1
2016,6,22,174,15.0,16.50,30854.62500,30854.68750,3.333,18,1
2016,6,22,174,18.0,19.50,30854.75000,30854.81250,4.667,39,1
2016,6,22,174,21.0,22.50,30854.87500,30854.93750,3.333,18,1
2016,6,23,175,00.0,01.50,30855.00000,30855.06250,1.667,6,1
2016,6,23,175,03.0,04.50,30855.12500,30855.18750,3.000,15,1
2016,6,23,175,06.0,07.50,30855.25000,30855.31250,0.667,3,1
