YYYY,DOY,HR,MN,bX,bY,bZ,speed,density,temp
2016,157,0,0,0.68,0.48,0.91,315.4,24.806,27834.0
2016,157,1,0,2.59,0.67,0.92,309.1,23.798,32698.0
2016,157,2,0,-1.3,1.35,1.0,313.6,24.873,26077.0
2016,157,3,0,-2.17,0.63,0.71,320.1,28.827,34178.0
2016,157,4,0,-1.94,0.5,1.31,321.3,32.458,31327.0
2016,157,5,0,-1.44,1.13,1.96,325.7,39.628,30720.0
2016,157,6,0,-0.33,1.22,1.39,330.5,60.276,34126.0
2016,157,7,0,-7.29,1.19,1.93,336.8,55.159,27021.0
2016,157,8,0,-2.95,4.37,4.13,340.0,42.091,61256.0
2016,157,9,0,0.31,2.23,3.77,361.3,35.398,117925.0
2016,157,10,0,2.13,1.39,4.74,383.4,28.606,111011.0
2016,157,11,0,5.97,1.4,3.31,382.3,26.912,126672.0
2016,157,12,0,-4.4,3.93,8.88,401.7,32.199,109115.0
2016,157,13,0,0.42,1.62,9.24,410.1,23.459,158377.0
2016,157,14,0,7.6,3.3,5.3,472.1,13.158,249677.0
2016,157,15,0,7.92,1.63,5.36,491.4,13.899,313721.0
2016,157,16,0,8.13,1.02,8.17,528.9,10.86,286803.0
2016,157,17,0,7.93,1.17,4.05,544.1,10.449,349295.0
2016,157,18,0,3.84,1.44,5.37,561.0,9.555,457047.0
2016,157,19,0,7.49,1.2,1.76,571.0,8.607,414892.0
2016,157,20,0,8.62,0.75,1.25,575.9,6.737,257852.0
2016,157,21,0,6.02,0.47,1.54,582.5,6.023,268023.0
2016,157,22,0,4.57,0.86,3.83,582.2,5.968,258191.0
2016,157,23,0,-0.24,1.21,2.4,574.6,6.166,253308.0
2016,158,0,0,-0.35,0.58,2.8,569.3,6.002,224260.0
2016,158,1,0,3.09,0.88,1.44,569.7,5.722,241670.0
2016,158,2,0,1.5,1.14,2.11,614.6,4.368,291742.0
2016,158,3,0,-1.78,1.08,1.53,623.2,4.175,306313.0
2016,158,4,0,-0.03,0.55,1.87,615.4,4.964,301205.0
2016,158,5,0,0.91,0.53,3.28,613.5,4.59,251571.0
2016,158,6,0,2.98,0.54,2.81,599.0,4.622,231681.0
2016,158,7,0,5.68,0.29,1.24,576.4,4.488,160882.0
2016,158,8,0,5.85,0.55,1.2,571.0,4.126,132951.0
2016,158,9,0,5.54,0.2,0.76,567.4,3.547,114667.0
2016,158,10,0,5.72,0.48,0.84,566.8,3.649,141664.0
2016,158,11,0,4.47,0.42,1.94,574.8,3.633,174529.0
2016,158,12,0,4.3,0.35,2.26,569.2,3.361,153084.0
2016,158,13,0,4.17,0.39,1.89,558.2,3.213,156076.0
2016,158,14,0,4.84,0.17,0.32,534.3,2.925,125810.0
2016,158,15,0,4.49,0.59,0.86,510.8,2.756,122231.0
2016,158,16,0,1.23,0.85,2.36,524.8,3.518,190044.0
2016,158,17,0,3.43,0.71,1.73,496.2,4.336,150268.0
2016,158,18,0,5.09,0.31,0.5,477.5,4.719,164240.0
2016,158,19,0,3.58,0.65,0.84,493.5,4.871,146216.0
2016,158,20,0,1.47,0.56,1.6,515.0,4.759,151547.0
2016,158,21,0,1.51,0.67,1.99,507.7,4.545,173050.0
2016,158,22,0,2.49,0.8,1.06,496.1,4.64,168901.0
2016,158,23,0,2.54,0.48,1.12,494.4,4.92,146790.0
2016,160,0,0,3.42,0.24,0.92,436.0,4.839,161923.0
2016,160,1,0,-0.87,0.27,1.82,471.2,3.867,144858.0
2016,160,2,0,2.26,0.38,2.58,450.7,4.059,135798.0
2016,160,3,0,4.71,0.14,0.96,425.9,4.156,113459.0
2016,160,4,0,4.93,0.15,1.04,437.9,3.976,146451.0
2016,160,5,0,4.42,0.16,0.68,435.1,4.074,96872.0
2016,160,6,0,2.83,0.48,1.27,446.0,4.386,107839.0
2016,160,7,0,3.25,0.38,0.88,439.0,4.982,110538.0
2016,160,8,0,0.11,0.39,1.11,454.2,4.134,80355.0
2016,160,9,0,-2.22,0.21,0.64,461.2,4.695,95133.0
2016,160,10,0,-1.07,0.37,1.14,453.2,5.21,109139.0
2016,160,11,0,-1.79,0.92,1.66,456.3,5.143,126286.0
2016,160,12,0,-0.29,0.38,2.31,454.8,4.941,100310.0
2016,160,13,0,2.57,0.17,1.32,441.3,4.505,95159.0
2016,160,14,0,4.74,0.28,0.76,416.2,4.835,77252.0
2016,160,15,0,4.95,0.28,0.41,405.6,4.542,66838.0
2016,160,16,0,2.93,0.15,0.57,414.4,4.802,90945.0
2016,160,17,0,2.76,0.23,0.75,411.1,4.525,81694.0
2016,160,18,0,3.88,0.12,0.16,395.7,4.191,63932.0
2016,160,19,0,2.82,0.3,0.65,403.5,4.357,83572.0
2016,160,20,0,1.98,0.22,1.2,410.7,4.257,85029.0
2016,160,21,0,0.64,0.5,1.1,418.7,4.081,79761.0
2016,160,22,0,2.3,0.22,0.7,404.3,4.439,89609.0
2016,160,23,0,2.11,0.3,0.74,400.3,4.335,66458.0
2016,162,0,0,1.91,0.11,0.42,341.7,7.534,46456.0
2016,162,1,0,2.59,0.13,0.89,344.2,8.097,71726.0
2016,162,2,0,0.83,0.1,0.74,347.5,8.334,33861.0
2016,162,3,0,1.83,0.11,0.38,343.4,8.354,47818.0
2016,162,4,0,2.26,0.06,0.53,339.1,8.617,49477.0
2016,162,5,0,1.41,0.07,0.31,341.4,9.186,38922.0
2016,162,6,0,1.98,0.07,0.44,339.5,9.872,41683.0
2016,162,7,0,1.83,0.2,0.31,339.3,11.384,35413.0
2016,162,8,0,1.16,0.36,0.37,341.8,14.096,21087.0
2016,162,9,0,2.56,0.21,0.47,342.3,17.681,15876.0
2016,162,10,0,2.01,0.16,0.26,342.9,20.432,15821.0
2016,162,11,0,-0.82,0.53,2.42,344.8,22.278,17338.0
2016,162,12,0,-2.05,1.64,1.36,346.6,23.544,20920.0
2016,162,13,0,-2.52,0.78,0.76,348.9,18.143,39415.0
2016,162,14,0,-2.54,0.72,1.48,344.5,20.06,63079.0
2016,162,15,0,-3.47,0.86,1.12,348.7,18.582,70601.0
