YYYY,MM,DD,D_year,HH,h_mid,days,days_m,Kp,ap,D
2016,6,5,157,0.0,1.5,30837.0,30837.0625,1.333,5,1
2016,6,5,157,3.0,4.5,30837.125,30837.1875,2.0,7,1
2016,6,5,157,6.0,7.5,30837.25,30837.3125,2.0,7,1
2016,6,5,157,9.0,10.5,30837.375,30837.4375,3.667,22,1
2016,6,5,157,12.0,13.5,30837.5,30837.5625,5.333,56,1
2016,6,5,157,15.0,16.5,30837.625,30837.6875,4.667,39,1
2016,6,5,157,18.0,19.5,30837.75,30837.8125,5.333,56,1
2016,6,5,157,21.0,22.5,30837.875,30837.9375,4.667,39,1
2016,6,6,158,0.0,1.5,30838.0,30838.0625,4.333,32,1
2016,6,6,158,3.0,4.5,30838.125,30838.1875,5.333,56,1
2016,6,6,158,6.0,7.5,30838.25,30838.3125,3.667,22,1
2016,6,6,158,9.0,10.5,30838.375,30838.4375,4.0,27,1
2016,6,6,158,12.0,13.5,30838.5,30838.5625,3.667,22,1
2016,6,6,158,15.0,16.5,30838.625,30838.6875,2.0,7,1
2016,6,6,158,18.0,19.5,30838.75,30838.8125,3.0,15,1
2016,6,6,158,21.0,22.5,30838.875,30838.9375,1.667,6,1
2016,6,8,160,0.0,1.5,30840.0,30840.0625,2.0,7,1
2016,6,8,160,3.0,4.5,30840.125,30840.1875,2.0,7,1
2016,6,8,160,6.0,7.5,30840.25,30840.3125,0.667,3,1
2016,6,8,160,9.0,10.5,30840.375,30840.4375,2.0,7,1
2016,6,8,160,12.0,13.5,30840.5,30840.5625,1.667,6,1
2016,6,8,160,15.0,16.5,30840.625,30840.6875,1.667,6,1
2016,6,8,160,18.0,19.5,30840.75,30840.8125,0.333,2,1
2016,6,8,160,21.0,22.5,30840.875,30840.9375,0.333,2,1
2016,6,10,162,0.0,1.5,30842.0,30842.0625,0.333,2,1
2016,6,10,162,3.0,4.5,30842.125,30842.1875,1.0,4,1
2016,6,10,162,6.0,7.5,30842.25,30842.3125,0.333,2,1
2016,6,10,162,9.0,10.5,30842.375,30842.4375,0.667,3,1
2016,6,10,162,12.0,13.5,30842.5,30842.5625,1.333,5,1
2016,6,10,162,15.0,16.5,30842.625,30842.6875,1.333,5,1
2016,6,10,162,18.0,19.5,30842.75,30842.8125,3.333,18,1
2016,6,10,162,21.0,22.5,30842.875,30842.9375,2.333,9,1
2016,6,11,163,0.0,1.5,30843.0,30843.0625,3.0,15,1
2016,6,11,163,3.0,4.5,30843.125,30843.1875,1.333,5,1
2016,6,11,163,6.0,7.5,30843.25,30843.3125,1.667,6,1
2016,6,11,163,9.0,10.5,30843.375,30843.4375,1.333,5,1
2016,6,11,163,12.0,13.5,30843.5,30843.5625,2.0,7,1
2016,6,11,163,15.0,16.5,30843.625,30843.6875,2.0,7,1
2016,6,11,163,18.0,19.5,30843.75,30843.8125,2.0,7,1
2016,6,11,163,21.0,22.5,30843.875,30843.9375,3.333,18,1
2016,6,12,164,0.0,1.5,30844.0,30844.0625,1.333,5,1
2016,6,12,164,3.0,4.5,30844.125,30844.1875,1.667,6,1
2016,6,12,164,6.0,7.5,30844.25,30844.3125,2.333,9,1
2016,6,12,164,9.0,10.5,30844.375,30844.4375,1.667,6,1
2016,6,12,164,12.0,13.5,30844.5,30844.5625,2.667,12,1
2016,6,12,164,15.0,16.5,30844.625,30844.6875,3.0,15,1
2016,6,12,164,18.0,19.5,30844.75,30844.8125,3.667,22,1
2016,6,12,164,21.0,22.5,30844.875,30844.9375,2.0,7,1
